Name,Price (BDT),Shop,Link
ZOTAC GAMING GeForce RTX 3050 Solo 8GB DDR6 Graphics Card,34500,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/zotac-gaming-geforce-rtx-3050-solo-8gbddr6-graphics-card
Zotac Gaming GeForce RTX 3050 Twin Edge GDDR6 8GB Graphics Card,34900,StarTech,https://www.startech.com.bd/zotac-gaming-geforce-rtx-3050-twin-edge-graphics-card
ZOTAC GAMING GEFORCE RTX 3050 8GB TWIN EDGE OC DDR6 GRAPHICS CARD,34999,TechLand,https://www.techlandbd.com/zotac-gaming-geforce-rtx-3050-twin-edge-oc-graphics-card
ZOTAC GAMING GEFORCE RTX 3050 TWIN EDGE DDR6 GRAPHICS CARD,35000,TechLand,https://www.techlandbd.com/zotac-gaming-geforce-rtx-3050-twin-edge-graphics-card
LEADTEK WINFAST RTX 3050 HURRICANE WHITE EDITION 8G GDDR6 GRAPHICS CARD,35000,TechLand,https://www.techlandbd.com/leadtek-winfast-rtx-3050-hurricane-white-8g-graphics-card
ZOTAC GAMING GeForce RTX 3050 Twin Edge 8GB GDDR6 Graphics Card,35500,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/zotac-gaming-geforce-rtx-3050-twin-edge-8gb-gddr6-graphics-card
GIGABYTE GeForce GTX 1660 SUPER D6 6GB GDDR6 Graphics Card,36000,StarTech,https://www.startech.com.bd/gigabyte-geforce-gtx-1660-super-d6-6gb-graphics-card
Gigabyte GeForce GTX 1660 SUPER OC 6GB Graphics Card,36000,TechLand,https://www.techlandbd.com/gigabyte-gtx-1660-super-oc-graphics-card
Gigabyte GeForce GTX 1660 Super OC 6GB Graphics Card,36200,StarTech,https://www.startech.com.bd/gigabyte-geforce-gtx-1660-super-graphics-card
MSI GeForce RTX 3050 VENTUS 2X 8G OCV1 GDDR6 Graphics Card,36900,StarTech,https://www.startech.com.bd/msi-geforce-rtx-3050-ventus-2x-8g-ocv1-graphics-card
Gigabyte GeForce GTX 1660 SUPER D6 6GB GDDR6 Graphics Card,37000,TechLand,https://www.techlandbd.com/gigabyte-gtx-1660-super-d6-graphics-card
MSI GeForce RTX 3050 VENTUS 2X 8G OCV1 8GB GDDR6X Graphics Card,37000,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/msi-geforce-rtx-3050-ventus-2x-8g-ocv1-8gb-gddr6x-graphics-card
Colorful iGame GeForce RTX 3050 Ultra W OC 8G-V 8GB GDDR6 Graphics Card,37500,StarTech,https://www.startech.com.bd/colorful-igame-geforce-rtx-3050-ultra-w-oc-8g-v-graphics-card
Asus TUF GeForce GTX 1660 Super Gaming 6GB GDDR6 Graphics Card,37500,StarTech,https://www.startech.com.bd/asus-tuf-gtx-1660-super-gaming-6gb-graphics-card
Gigabyte Geforce RTX 2060 SUPER WINDFORCE OC 8GB Graphics Card,37500,StarTech,https://www.startech.com.bd/gigabyte-geforce-rtx-2060-super-windforce-graphics-card
COLORFUL IGAME GEFORCE RTX 3050 ULTRA W DUO OC 8G-V GRAPHICS CARD,37500,TechLand,https://www.techlandbd.com/colorful-rtx-3050-ultra-w-oc-8g-v-graphics-card
ASUS TUF Gaming GeForce GTX 1660 SUPER 6GB Graphics Card,37500,TechLand,https://www.techlandbd.com/asus-tuf-gtx1660s-6g-gaming-graphics-card
MSI GeForce RTX 3050 VENTUS 2X 8GB OC GDDR6 Graphics Card,37900,StarTech,https://www.startech.com.bd/msi-geforce-rtx-3050-ventus-2x-8g-oc-graphics-card
