Name,Price (BDT),Shop,Link
GUNNIR Intel Arc A750 Photon 8G OC W GDDR6 Graphics Card,28500,StarTech,https://www.startech.com.bd/gunnir-intel-arc-a750-photon-8g-oc-w-graphics-card
ZOTAC GAMING GeForce RTX 3050 Solo 8GB GDDR6 Graphics Card,28900,StarTech,https://www.startech.com.bd/zotac-gaming-geforce-rtx-3050-solo-graphics-card
Intel Arc A750 Limited Edition 8GB GDDR6 Graphics Card,29000,StarTech,https://www.startech.com.bd/intel-arc-a750-limited-edition-graphics-card
INTEL ARC A750 Limited Edition 8GB GDDR6 GRAPHICS CARD,29000,TechLand,https://www.techlandbd.com/intel-arc-a750-8-gb-gddr6-graphics-card
ZOTAC GAMING GEFORCE RTX 3050 ECO SOLO 8GB GDDR6 GRAPHICS CARD,29000,TechLand,https://www.techlandbd.com/zotac-rtx-3050-eco-solo-8gb-gddr6-gpu
ZOTAC GAMING GEFORCE RTX 3050 SOLO 8GB GDDR6 GRAPHICS CARD,29000,TechLand,https://www.techlandbd.com/zotac-gaming-geforce-rtx-3050-solo-graphics-card
Acer Predator BiFrost Intel Arc A750 OC 8GB GDDR6 Graphics Card,29500,StarTech,https://www.startech.com.bd/acer-predator-bifrost-arc-a750-oc-8gb-gddr6-graphics-card
EVGA GEFORCE RTX 2060 SC OC GAMING 6GB GDDR6 GRAPHICS CARD,29500,TechLand,https://www.techlandbd.com/rtx-2060-sc-oc-gddr6-gaming-gpu
ZOTAC GAMING GeForce RTX 3050 ECO SOLO 8GB GDDR6 Graphics Card,29500,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/zotac-gaming-geforce-rtx-3050-eco-solo-8gb-gddr6-graphics-card
ZOTAC GAMING GEFORCE RTX 3050 ECO 8GB GDDR6 GRAPHICS CARD,29700,TechLand,https://www.techlandbd.com/zotac-geforce-rtx-3050-eco-8gb-gddr6-gpu
ZOTAC GAMING GEFORCE RTX 3050 ECO 8GB GDDR6 Graphics Card,29800,StarTech,https://www.startech.com.bd/zotac-gaming-geforce-rtx-3050-eco-8gb-graphics-card
ZOTAC GAMING GeForce RTX 3050 ECO Solo 8GB GDDR6 Graphics Card,29800,StarTech,https://www.startech.com.bd/zotac-gaming-geforce-rtx-3050-eco-solo-8gb-graphics-card
MSI GEFORCE RTX 3050 VENTUS 2X XS 8GB OC GDDR6 GRAPHICS CARD,29800,TechLand,https://www.techlandbd.com/msi-3050-ventus-2x-8gb-ocv1-graphics-card
SPARKLE Intel Arc A750 TITAN OC Edition 8GB GDDR6 Graphics Card,29900,StarTech,https://www.startech.com.bd/sparkle-intel-arc-a750-titan-oc-edition-8gb-graphics-card
PNY GeForce GTX 1660 SUPER 6GB Dual Fan GDDR6 Graphics Card,29900,StarTech,https://www.startech.com.bd/pny-geforce-gtx-1660-super-6gb-dual-fan-graphics-card
GUNNIR INTEL ARC A750 PHOTON 8G OC WHITE X GRAPHICS CARD ASIAN GAMES EDITION,29900,TechLand,https://www.techlandbd.com/arc-a750-photon-gpu-asian-games-edition
ACER BIFROST PREDATOR INTEL ARC A750 OC 8GB GDDR6 GRAPHICS CARD,29900,TechLand,https://www.techlandbd.com/acer-predator-a750-oc-8gb-graphics-card
INTEL ARC A750 8GB GDDR6 LIMITED TIGER GOLD EDITION GRAPHICS CARD,29900,TechLand,https://www.techlandbd.com/intel-arc-a750-8gb-gddr6-limited-tiger-gold-edition-graphics-card
MSI GeForce RTX 3050 VENTUS 2X XS 8GB OC GDDR6 Graphics Card,30000,StarTech,https://www.startech.com.bd/msi-geforce-rtx-3050-ventus-2x-xs-8g-oc-graphics-card
ASUS TUF Gaming GeForce GTX 1660 SUPER OC 6GB Graphics Card,30000,TechLand,https://www.techlandbd.com/asus-tuf-gtx1660s-o6g-gaming-graphics-card
MSI GeForce GTX 1660 SUPER VENTUS XS OC 6GB Graphics Card,30500,TechLand,https://www.techlandbd.com/msi-gtx-1660-super-ventus-xs-oc-graphics-card
ZOTAC GAMING GeForce RTX 3050 ECO 8GB GDDR6 Graphics Card,30500,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/zotac-gaming-geforce-rtx-3050-eco-8gb-gddr6-graphics-card
MSI GeForce RTX 3050 VENTUS 2X XS 8G OC 8GB GDDR6 Graphics Card,30500,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/msi-geforce-rtx-3050-ventus-2x-xs-8g-oc-8gb-gddr6-graphics-card
